To,Location
TenMHzExt,PIN_P26
key_0_init,PIN_G26
SCLK,PIN_J25
SDIO,PIN_K23
IO_UPDATE,PIN_N18
IO_RESET,PIN_L25
init_end_flag,PIN_Y18
init_key_flag,PIN_Y12
CSB,PIN_L23
DR_HOLD,PIN_L21
OSK,PIN_H25
