To,Location
key_0_init,PIN_M24
key_3_sweep,PIN_W26
ten_MHz_ext,PIN_D13
CSB,PIN_L23
SCLK,PIN_J25
SDIO,PIN_K23
DR_CTL,PIN_K19
IO_UPDATE,PIN_N18
IO_RESET,PIN_L25
trigger,PIN_T21
key_1_trigger,PIN_N23
DR_HOLD,PIN_L21
OSK,PIN_H25
SCLK_PE_3,PIN_R20
SDIO_PE_5,PIN_N24
