To,Location
key_3_sweep,PIN_W26
key_0_init,PIN_G26
scope_trigger,PIN_W25
tenMHz_ext,PIN_P26
CSB,PIN_L23
SCLK,PIN_J25
SDIO,PIN_K23
DR_CTL,PIN_K19
IO_UPDATE,PIN_N18
DR_HOLD,PIN_L21
OSK,PIN_H25
sweep_key_flag,PIN_AF22
sweep_end_flag,PIN_W19
init_end_flag,PIN_Y18
init_key_flag,PIN_Y12
IO_RESET,PIN_L25
